source_id,primary_pack,jurisdiction,title,document_id,authority_class,binding_state,official_url,preferred_ingest,priority,verification_state,last_verified,rights_or_use_state,notes
GB-005,NB05,GB,"Digital Markets, Competition and Consumers Act 2024",2024 c. 13,STATUTE_OR_REGULATION,binding UK Act with provision-specific commencement/currentness dependencies,https://www.legislation.gov.uk/ukpga/2024/13/contents,URL_DIRECT_PREFERRED,P1,VERIFIED_OFFICIAL_URL_IDENTITY_R009_WITH_STATED_CURRENTNESS_LIMITS,2026-09-14,OFFICIAL_PUBLIC_URL_REPO_VENDORING_RIGHTS_NOT_ASSESSED_R009,Official latest-available revised page and XML enactment-date attribute verified. R009 does not map every Part commencement or CMA enforcement procedure.
GB-006,NB05,GB,Consumer Rights Act 2015,2015 c. 15,STATUTE_OR_REGULATION,binding UK Act; application to a concrete AI product/service depends on facts and provision,https://www.legislation.gov.uk/ukpga/2015/15/contents,URL_DIRECT_PREFERRED,P1,VERIFIED_OFFICIAL_URL_IDENTITY_R009_WITH_STATED_CURRENTNESS_LIMITS,2026-09-14,OFFICIAL_PUBLIC_URL_REPO_VENDORING_RIGHTS_NOT_ASSESSED_R009,Official latest-available revised page and XML enactment-date attribute verified. No AI-specific duty is inferred from source identity alone.
GB-007,NB05,GB,Consumer Protection Act 1987,1987 c. 43,STATUTE_OR_REGULATION,binding UK Act; product-liability application to AI remains a separate legal analysis,https://www.legislation.gov.uk/ukpga/1987/43/contents,URL_DIRECT_PREFERRED,P1,VERIFIED_OFFICIAL_URL_IDENTITY_R009_WITH_STATED_CURRENTNESS_LIMITS,2026-09-14,OFFICIAL_PUBLIC_URL_REPO_VENDORING_RIGHTS_NOT_ASSESSED_R009,Official latest-available revised page and XML enactment-date attribute verified. R009 does not conclude that a model/software output is a defective product or that liability exists.
GB-008,NB05,GB,Product Regulation and Metrology Act 2025,2025 c. 20,STATUTE_OR_REGULATION,binding UK Act/enabling product-regulation framework; concrete duties may depend on secondary regulations and commencement,https://www.legislation.gov.uk/ukpga/2025/20/contents,URL_DIRECT_PREFERRED,P1,VERIFIED_OFFICIAL_URL_IDENTITY_R009_WITH_STATED_CURRENTNESS_LIMITS,2026-09-14,OFFICIAL_PUBLIC_URL_REPO_VENDORING_RIGHTS_NOT_ASSESSED_R009,Official latest-available revised page and XML enactment-date attribute verified. R009 does not infer secondary regulations or product-specific AI duties that were not separately checked.
GB-009,NB05,GB,AI Growth Lab,GOV.UK call for evidence — AI Growth Lab,POLICY_PROPOSAL,closed call for evidence / proposed regulatory sandbox modifications; nonbinding; not enacted law,https://www.gov.uk/government/calls-for-evidence/ai-growth-lab,URL_DIRECT_PREFERRED,P1,VERIFIED_OFFICIAL_URL_IDENTITY_R009_WITH_STATED_CURRENTNESS_LIMITS,2026-09-14,OFFICIAL_PUBLIC_URL_REPO_VENDORING_RIGHTS_NOT_ASSESSED_R009,GOV.UK Content API exact identity verified. Page states the proposed AI Growth Lab would support targeted regulatory modifications under safeguards. Proposal/call for evidence is not current binding law.
GB-010,NB05,GB,Regulators’ strategic approaches to AI,GOV.UK regulator-strategy notice 2024,OFFICIAL_GUIDANCE,official nonbinding notice/coordination record; not statute,https://www.gov.uk/government/publications/regulators-strategic-approaches-to-ai,URL_DIRECT_PREFERRED,P1,VERIFIED_OFFICIAL_URL_IDENTITY_R009_WITH_STATED_CURRENTNESS_LIMITS,2026-09-14,OFFICIAL_PUBLIC_URL_REPO_VENDORING_RIGHTS_NOT_ASSESSED_R009,GOV.UK Content API exact identity verified. Notice records strategic AI approaches requested from key regulators; it does not itself create statutory AI duties.
GB-011,NB05,GB,Artificial intelligence — ICO guidance hub,ICO AI guidance hub,REGULATORY_GUIDANCE,official regulator guidance; nonbinding as guidance; underlying UK GDPR/DPA duties remain separate legal authority,https://ico.org.uk/for-organisations/uk-gdpr-guidance-and-resources/artificial-intelligence/,URL_DIRECT_PREFERRED,P1,VERIFIED_OFFICIAL_URL_IDENTITY_R009_WITH_STATED_CURRENTNESS_LIMITS,2026-09-14,OFFICIAL_PUBLIC_URL_REPO_VENDORING_RIGHTS_NOT_ASSESSED_R009,Official ICO AI hub returned HTTP 200 and references UK GDPR plus AI decision-explanation resources. R009 did not normalize the publication/update date or verify every linked guidance page.
GB-012,NB05,GB,AI Foundation Models: initial review,CMA AI Foundation Models initial review,REGULATORY_GUIDANCE,official regulator market-study/review material; not statute or court holding,https://www.gov.uk/cma-cases/ai-foundation-models-initial-review,URL_DIRECT_PREFERRED,P1,VERIFIED_OFFICIAL_URL_IDENTITY_R009_WITH_STATED_CURRENTNESS_LIMITS,2026-09-14,OFFICIAL_PUBLIC_URL_REPO_VENDORING_RIGHTS_NOT_ASSESSED_R009,GOV.UK Content API exact page identity verified; first published 2023-05-04 and public update 2024-04-16. Do not convert market-review findings into binding duties.
GB-013,NB05,GB,AI Opportunities Action Plan: government response,UK Government response to AI Opportunities Action Plan 2025,OFFICIAL_GUIDANCE,government policy paper; nonbinding; not statute,https://www.gov.uk/government/publications/ai-opportunities-action-plan-government-response,URL_DIRECT_PREFERRED,P1,VERIFIED_OFFICIAL_URL_IDENTITY_R009_WITH_STATED_CURRENTNESS_LIMITS,2026-09-14,OFFICIAL_PUBLIC_URL_REPO_VENDORING_RIGHTS_NOT_ASSESSED_R009,"GOV.UK Content API exact identity verified; policy paper published 2025-01-13. Later AI Growth Lab/regulatory-policy materials exist, so this is not treated as the sole current AI-regulation source."
KR-001,NB05,KR,인공지능 발전과 신뢰 기반 조성 등에 관한 기본법,law.go.kr lsId=014820 / lsiSeq=282791 / current selector efYd=20260721 / current revision ancNo=21311 ancYd=20260120,STATUTE_OR_REGULATION,binding national statute; provision-level amendment/effective-date chain not normalized by R010,https://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=282791&chrClsCd=010202&urlMode=lsInfoP&efYd=20260721&ancYnChk=0,URL_DIRECT_PREFERRED,P1,VERIFIED_OFFICIAL_CURRENT_SOURCE_R010,2026-09-14,OFFICIAL_PUBLIC_URL_NO_REPO_VENDORING_ATTEMPTED,"Official current page identity verified. Hidden metadata: lsId 014820; lsiSeq 282791; current revision ancNo 21311; ancYd 2026-01-20; nwYn=Y. Name wrapper selected efYd 2026-07-21, while the body also exposed a 2026-01-22 base-effect signal. R010 does not collapse these into one universal commencement date and does not claim ancNo 21311 is the original enactment number."
KR-002,NB05,KR,인공지능 발전과 신뢰 기반 조성 등에 관한 기본법 시행령,law.go.kr lsId=015032 / lsiSeq=288781 / current selector efYd=20260820 / current revision ancNo=36580 ancYd=20260818,STATUTE_OR_REGULATION,binding Presidential Decree subordinate legislation; provision-level application not normalized by R010,https://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=288781&chrClsCd=010202&urlMode=lsInfoP&efYd=20260820&ancYnChk=0,URL_DIRECT_PREFERRED,P1,VERIFIED_OFFICIAL_CURRENT_SOURCE_R010,2026-09-14,OFFICIAL_PUBLIC_URL_NO_REPO_VENDORING_ATTEMPTED,Official current page identity verified. Hidden metadata: lsId 015032; lsiSeq 288781; current revision ancNo 36580; ancYd 2026-08-18; nwYn=Y; current selector 2026-08-20. R010 does not infer a concrete duty or liability consequence from source identity.
KR-003,NB05,KR,개인정보 보호법,law.go.kr lsId=011357 / lsiSeq=283839 / current selector efYd=20260911 / current revision ancNo=21445 ancYd=20260310,STATUTE_OR_REGULATION,binding national data-protection statute; AI-specific application depends on facts and provisions,https://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=283839&chrClsCd=010202&urlMode=lsInfoP&efYd=20260911&ancYnChk=0,URL_DIRECT_PREFERRED,P1,VERIFIED_OFFICIAL_CURRENT_SOURCE_R010,2026-09-14,OFFICIAL_PUBLIC_URL_NO_REPO_VENDORING_ATTEMPTED,Official current page identity verified. Hidden metadata: lsId 011357; lsiSeq 283839; current revision ancNo 21445; ancYd 2026-03-10; nwYn=Y; current selector 2026-09-11. No AI-specific breach or compliance conclusion is inferred.
JP-001,NB05,JP,人工知能関連技術の研究開発及び活用の推進に関する法律,e-Gov law 507AC0000000053 / 令和七年法律第五十三号 / current revision 507AC0000000053_20250901_000000000000000,STATUTE_OR_REGULATION,binding national statute; e-Gov current revision status CurrentEnforced,https://laws.e-gov.go.jp/law/507AC0000000053,URL_DIRECT_PREFERRED,P1,VERIFIED_OFFICIAL_CURRENT_SOURCE_R010,2026-09-14,OFFICIAL_PUBLIC_URL_NO_REPO_VENDORING_ATTEMPTED,"Official e-Gov API verified law number Reiwa 7 Act No. 53, promulgation 2025-06-04, current revision effective 2025-09-01, status CurrentEnforced. Cabinet Office official AI Act page states partial effect from 2025-06-04 and full effect from 2025-09-01. R010 does not convert statutory principles into a concrete breach/liability finding."
JP-002,NB05,JP,個人情報の保護に関する法律,e-Gov law 415AC0000000057 / current revision 415AC0000000057_20260717_508AC0000000062,STATUTE_OR_REGULATION,binding national data-protection statute; current revision status CurrentEnforced,https://laws.e-gov.go.jp/law/415AC0000000057,URL_DIRECT_PREFERRED,P1,VERIFIED_OFFICIAL_CURRENT_SOURCE_R010,2026-09-14,OFFICIAL_PUBLIC_URL_NO_REPO_VENDORING_ATTEMPTED,Official e-Gov API verified original law number Heisei 15 Act No. 57 and current revision 2026-07-17 under Reiwa 8 Act No. 62; status CurrentEnforced. No AI-specific application conclusion is inferred.
JP-003,NB05,JP,人工知能基本計画（第Ⅱ期）,Cabinet Office AI Basic Plan Phase II / Cabinet decision 2026-07-14,OFFICIAL_GUIDANCE,Cabinet-adopted policy plan; nonbinding as policy plan; not statute,https://www8.cao.go.jp/cstp/ai/ai_plan/ai_plan.html,URL_DIRECT_PREFERRED,P1,VERIFIED_OFFICIAL_CURRENT_SOURCE_R010,2026-09-14,OFFICIAL_PUBLIC_URL_NO_REPO_VENDORING_ATTEMPTED,Cabinet Office AI hub states the Phase II AI Basic Plan was decided by Cabinet on 2026-07-14. The prior first plan dated 2025-12-23 remains historical context. Policy plan is not treated as statute.
JP-004,NB05,JP,人工知能関連技術の研究開発及び活用の適正性確保に関する指針,Cabinet Office / AI Strategy Headquarters guideline decision 2025-12-19,OFFICIAL_GUIDANCE,official AI-governance guideline; nonbinding as guidance unless a separate legal rule incorporates a requirement,https://www8.cao.go.jp/cstp/ai/ai_guideline/ai_guideline.html,URL_DIRECT_PREFERRED,P1,VERIFIED_OFFICIAL_CURRENT_SOURCE_R010,2026-09-14,OFFICIAL_PUBLIC_URL_NO_REPO_VENDORING_ATTEMPTED,Cabinet Office page states Headquarters decision 2025-12-19 and maintains a current cross-ministry AI guideline inventory. Guidance is not converted into statutory duty.
JP-005,NB05,JP,AI事業者ガイドライン Ver.1.2,AI Guidelines for Business Ver.1.2 / MIC-METI current listing 2026-03-31,REGULATORY_GUIDANCE,official cross-ministry business guidance; nonbinding as guidance; not statute,https://www.soumu.go.jp/main_sosiki/kenkyu/ai_network/02ryutsu20_04000019.html,URL_DIRECT_PREFERRED,P1,VERIFIED_OFFICIAL_CURRENT_SOURCE_R010,2026-09-14,OFFICIAL_PUBLIC_URL_NO_REPO_VENDORING_ATTEMPTED,"Cabinet Office current guideline hub links both MIC and METI sources and marks the AI Guidelines for Business at R8.3. MIC official page was reachable and showed Ver.1.2 / 2026-03-31 plus official English titles. METI counterpart returned HTTP 403 to the GitHub runner; this is preserved as access state, not source absence."
